,title,artist,reached_number_one,lyrics
46,Overnight Celebrity,Twista,"May 8, 2004","[Produced by Kanye West]

[Intro: Twista]
Oh you didn't think we could do it again
Twista, Kanye West, from Po Pimpin' to Poppin' Tags
From Champions to Slow Jammin', oh baby
We can even make you a overnight celebrity
Know what I'm saying? Come on

[Chorus: Kanye West & Twista]
Why don't we play something these hoes'll like?
Drive whips I know they like
Twista, you told her, right?
I could make you a celebrity overnight
Give you ice like Kobe wife
We sorta like Goldie, right?
The way we mold 'em right
I could make you a celebrity overnight

[Verse 1: Twista]
Girl I see you in them Apple Bottom jeans
Chinchilla on your back, I wanna know your name
Girl I'm Twista, I could blow your brains
Put you in a chameleon '04 Range
Still sexy when you smoke that flame
Jerk it like a chicken when you throw that thang
She got me hotter than a oven the way that she talk
Switching to freaky so I'm loving the way that she walk
You looking good, girl, you oughta be in pictures
Listen to me, I see your career going sky high
Taking you home to the crib in the Chi
And everytime I see your thighs, I cry when I drive by
Watching you should be a thrill, got the fellas on some Johnny Gill
Steady screaming, ""My, my, my, my""
Walk on the carpet with the diamonds that flick in the dark
Kicking it on the couch at 106 & Park
I can see your beauty on the big screen
I can see me freaking you with whipped cream
I can see you on stage at the awards
With a dress better than Jennifer's and doing big things
Kick it with me, I can mold your life
You looking good girl, show you right
Dre told me you the prototype
I can make you a celebrity overnight

[Chorus: Kanye West & Twista]
Why don't we play something these hoes'll like?
Drive whips I know they like
Twista, you told her, right?
I could make you a celebrity overnight
Give you ice like Kobe wife
We sorta like Goldie, right?
The way we mold 'em right
I could make you a celebrity overnight
Why don't we play something these hoes'll like?
Drive whips I know they like
Twista, you told her, right?
I could make you a celebrity overnight
Give you ice like Kobe wife
We sorta like Goldie, right?
The way we mold 'em right
I could make you a celebrity overnight

[Verse 2: Twista]
You want fame, you can take that path
Candlelights 'fore you take a bath
You got such a sensational ass
I'ma get you Jimmy Choo and Marc Jacob bags
I can cop her a 2003
Make her smile when she sees Spre's
I can get you on CDs and DVDs
Take you to BeBe's and BCBG
I can get you into places to be into
The people to know or show you things to get into
I wanna be your lover and your confidant
And protect you from others, don't ever let a brother pimp you
If you want the style, you can get ya girl
Y'all take a look at her, she got such an astonishing body
I can see ya in some Gucci or Robert Cavalli
And I bet she gon' put a hurt on 'em hard in the party
And you know you kill 'em in the club we go
You was born to be a pro, how you know who's taking photos
And I love you cause you freaky with the door closed
Drop it to the flo', let that go when you roll slow
And I love it when I hit it from the back
And you get on top of me and have a brother going ""Oh-oh""
Girl I love how you roll me right
I can make you a celebrity overnight

[Chorus: Kanye West & Twista]
Why don't we play something these hoes'll like?
Drive whips I know they like
Twista, you told her, right?
I could make you a celebrity overnight
Give you ice like Kobe wife
We sorta like Goldie, right?
The way we mold 'em right
I could make you a celebrity overnight

[Interlude: Twista]
You see, see baby girl
You see how you make a brother break down
I just gotta ask you, what you need?
What you need from me? Oh you wanna be a star?
Are you messing with the right one?
I can take you there, I can make sure
You've got all the finest things
Let me be your manager

[Outro: Twista]
Come here girl, I could see you bored
Tell you you're the queen that I see you for
Take you shopping on sprees in stores
I'ma get you to the MTV Awards
We about to do a show tonight
You looking good girl, show you right
Take you places I know you like
I could make you a celebrity overnight
Come here girl, you could hang if you bored
We could do plenty things plus more
I'm about to have you changin' in stores
I can even get you to the Soul Train Awards
We about to do a show tonight
You looking good girl, show you right
Take you places I know you like
I could make you a celebrity overnight"
47,Slow Motion,Juvenile featuring Soulja Slim,"July 3, 2004","[Intro: Soulja Slim]
Slow motion for me
Slow motion for me, move in slow motion for me (c'mon)
Slow motion for me
Slow motion for me, move in slow motion for me

[Chorus: Soulja Slim]
Ughh! I like it like that
She working that back, I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me
Ughh! I like it like that
She working that back, I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me

[Verse 1: Soulja Slim]
I'm a dick thrower, her neck and her back hurting
Cut throater, have you like a brand new virgin
It's like when you get used of it then you start serving
Hop up on top and start jicky-jicky-jerking
Slow down for me, a-you moving too fast
My fingers keep slipping, I'm tryna grip that ass
Keep being hard-headed and I'ma make you get off me
Got human enough disguise but my face is a doggy
If you loving my bark let me bury my bone
I got four or five bad married bitches at home
One of my bitches feel in love with that outside dick
That outside dick keep them hoes sick like

[Chorus: Soulja Slim]
Ughh! I like it like that
She working that back, I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me
Ughh! I like it like that
She working that back, I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me

[Verse 2: Juvenile]
It's like I got the world in my palms
Your girl up under my arms, she fucked up from the charm
She love the way the dick stay hard from 12 'til early in the morn'
Fine bitches if you listening, you heard me, I'm strong
If you going through your cycle, I ain't with it, I'm gone
You must have heard about them hoes that I beat up in my home
They wasn't telling the truth baby, you know they was wrong
Now, make it official, wind up some of that dome
I don't mind buying blue, your riding to
Don't be asking nigga questions about where I'm driving you
Lil mama my shit together, I ain't jiving you
I don't think that nigga could do you better then I could do, ya know
And Juvenile from cross the street by the derby
Same nigga that used to be running with Rusty and Kirby
Can a playa from the 'Nolia get a chance with it?
But I can't bounce with you without using my hands with it

[Chorus: Soulja Slim]
Ughh! I like it like that
She working that back, I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me
Ughh! I like it like that
She working that back, I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me

[Verse 3: Soulja Slim]
Slow motion, she open, I'm hoping she don't leave my dick broken
With brush burns and swollen
I'm toting, she wanted me to make her out a believer
I gurantee ya I'ma see ya when I see ya
And just don't holla out my name like we was all that
Your pussy throw back and you know that
So stop stunting, slow motion for a real nigga
I'm going off that incredible potion and I'ma deal with ya

[Verse 4: Juvenile]
I like how that Victoria Secret sit in that ass
Let me pour some more hip and Hennsey in your glass
Would I be violating if I grab me a handful?
I know what's happening, all I want is a sample
Who you with? I'm in the rental today
It's going down and happening and I remember the way
Less money we spend on bullshit, the more for the weed
What's it gonna take for you to come slow motion with me?
Like

[Chorus: Soulja Slim]
Ughh! I like it like that
She working that back, I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me
Ughh! I like it like that
She working that back, I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me
Ughh! I like it like that
She working that back, I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me
Ughh! I like it like that
She working that back, I don't know how to act
Slow motion for me, slow motion for me
Slow motion for me, move in slow motion for me"
48,Lean Back,Terror Squad,"August 14, 2004","[Intro: Fat Joe]
Owwwwww! Yeah! My niggas, ahah
Throw your hands in the air right now, man!
Feel this shit right here, Scott Storch, nigga
Yeah Khaled, I see you nigga, show Big Pun love
Uh, yeah, uh, yo

[Verse 1: Fat Joe]
I don't give a fuck about your faults or mishappens
Nigga, we from the Bronx, New York; shit happens
Kids clappin', love to spark the place
Half the niggas in the Squad got a scar on their face
It's a cold world and this is ice
Half a mil' for the charm, nigga, this is life
Got the Phantom in front of the building, Trinity Ave
Ten years been legit, they still figure me bad
As a youngin, was too much to cope with
Why you think, muh'fuckers nicknamed me Cook Coke shit?
Should've been called Armed Robbery
Extortion, or maybe Grand Larceny
I did it all, I put the pieces to the puzzle
Just as long, I knew me and my peoples was gon' bubble
Came out the gate on some Flo-Jo shit
Fat nigga with the shotty was the logo, kid

[Hook: Fat Joe]
I said my niggas don't dance
We just pull up our pants and, do the rockaway
Now lean back, lean back
Lean back, lean back (come on!)
I said my niggas don't dance
We just pull up our pants and, do the rockaway
Now lean back, lean back
Lean back, lean back (come on!)

[Verse 2: Remy Martin]
R to the Ezzy, M to the Yzzy
My arms stay breezy, the Don stay flizzy
Got a date at 8, I'm in the 7-4-fizzive
And I just bought a bike so I can ride 'til I die
With a matchin' jacket, 'bout to cop me a mansion
My niggas in the club, but you know they not dancin'
We gangsta, and gangstas don't dance, we boogie
So never mind how we got in here with burners and hoodies
Listen, we don't pay admission and the bouncers don't check us
And we walk around the metal detectors
And there really ain't a need for a V.I.P section
In the middle of the dance floor reckless, check it
Said he, liked my necklace, started relaxin'
Now that's what the fuck I call a chain reaction
See, money ain't a thang, nigga, we still the same niggas
Flows just changed, now we 'bout to change the game, nigga

[Hook: Fat Joe]
I said my niggas don't dance
We just pull up our pants and, do the rockaway
Now lean back, lean back
Lean back, lean back (come on!)
I said my niggas don't dance
We just pull up our pants and, do the rockaway
Now lean back, lean back
Lean back, lean back (come on!)

[Verse 3: Fat Joe]
Now we living better now, Coogi sweater now
And that G4 can fly through any weather now
See, niggas get tight when you worth some millions
This is why I sport the chinchilla: to hurt they feelings
You can find Joe Crack at all type of shit
Out in Vegas front row to all the fights and shit
If 5-0 boy come then they'd proudly squeal
Cause half these rappers they blow like Derek Foreal
If you cross the line, damn right I'm gon' hurt you
These faggot niggas even made gang signs commercial
Even Lil' Bow Wow throwin' it up
B2K Crip walkin' like, ""That's what's up!""
Kay keep tellin' me to speak about the Rucker
Matter of fact, I don't wanna speak about the Rucker
Not even Pee Wee Kirkland could imagine this
My niggas didn't have to play to win the championship

[Hook: Fat Joe]
I said my niggas don't dance
We just pull up our pants and, do the rockaway
Now lean back, lean back
Lean back, lean back (come on!)
I said my niggas don't dance
We just pull up our pants and, do the rockaway
Now lean back, lean back
Lean back, lean back (come on!)"
49,Drop It Like It's Hot,Snoop Dogg featuring Pharrell,"November 6, 2004","[Produced by The Neptunes]

[Refrain]
Snoop
Snoop

[Chorus: Snoop Dogg]
When the pimp's in the crib, ma
Drop it like it's hot, drop it like it's hot, drop it like it's hot
When the pigs try to get at you
Park it like it's hot, park it like it's hot, park it like it's hot
And if a nigga get a attitude
Pop it like it's hot, pop it like it's hot, pop it like it's hot
I got the Rollie on my arm, and I'm pourin' Chandon
And I roll the best weed ‘cause I got it goin' on

[Verse 1: Pharrell]
I'm a nice dude, with some nice dreams
See these ice cubes? See these Ice Creams?
Eligible bachelor, million dollar boat
That's whiter than what's spillin' down your throat
The Phantom, exterior like fish eggs
The interior like suicide-wrist red
I can exercise you, this can be your Phys. Ed
Cheat on your man, ma, that's how you get ahizzead
Killer with the beat, I know killers in the street
With the steel that'll make you feel like Chinchilla in the heat
So don't try to run up on my ear
Talkin' all that raspy shit, tryin' to ask me shit
When my niggas fill your vest, they ain't gon' pass me shit
You should think about it—take a second (Ding)
Matter-fact, you should take four, B
And think before you fuck with lil' Skateboard P

[Chorus: Snoop Dogg]
When the pimp's in the crib, ma
Drop it like it's hot, drop it like it's hot, drop it like it's hot
When the pigs try to get at you
Park it like it's hot, park it like it's hot, park it like it's hot
And if a nigga get a attitude
Pop it like it's hot, pop it like it's hot, pop it like it's hot
I got the Rollie on my arm, and I'm pourin' Chandon
And I roll the best weed ‘cause I got it goin' on

[Verse 2: Snoop Dogg]
I'm a gangsta, but y'all knew that
Da Big Boss Dogg, yeah, I had to do that
I keep a blue flag hangin' out my backside
But only on the left side—yeah, that's the Crip side
Ain't no other way to play the game the way I play
I cut so much, you thought I was a DJ
""Two, one, yep, three!""
S-N double O-P, D-O double G
I can't fake it, just break it, and when I take it
See, I specialize in makin' all the girls get naked
So bring your friends, all of y'all come inside
We got a world premiere right here, now get live!
So don't change the dizzle, turn it up a little
I got a livin' room full of fine dime brizzles
Waitin' on the Pizzle, the Dizzle, and the Chizzle
G's to the bizzack—now, ladies, here we gizzo!

[Chorus: Snoop Dogg]
When the pimp's in the crib, ma
Drop it like it's hot, drop it like it's hot, drop it like it's hot
When the pigs try to get at you
Park it like it's hot, park it like it's hot, park it like it's hot
And if a nigga get a attitude
Pop it like it's hot, pop it like it's hot, pop it like it's hot
I got the Rolly on my arm, and I'm pourin' Chandon
And I roll the best weed ‘cause I got it goin' on

[Verse 3: Snoop Dogg]
I'm a bad boy, with a lot of hoes
Drive my own cars, and wear my own clothes
I hang out tough, I'm a real boss
Big Snoop Dogg, yeah he's so sharp
On the TV screen, and in the magazines
If you play me close, you're on a red beam
Oh you got a gun, so you wanna pop back?
AK-47 now, nigga, stop that!
Cement shoes, now I'm on the move
Your family's cryin', now you on the news
They can't find you, and now they miss you
Must I remind you, I'm only here to twist you
Pistol-whip you, dip you, then flip you
Then dance to this mothafuckin' music we Crip to
Subscribe, nigga, get your issue
Baby, come close, let me see how you get loose!

[Chorus: Snoop Dogg]
When the pimp's in the crib, ma
Drop it like it's hot, drop it like it's hot, drop it like it's hot
When the pigs try to get at you
Park it like it's hot, park it like it's hot, park it like it's hot
And if a nigga get a attitude
Pop it like it's hot, pop it like it's hot, pop it like it's hot
I got the Rolly on my arm, and I'm pourin' Chandon
And I roll the best weed ‘cause I got it goin' on

[Refrain]
Snoop
Snoop"
50,Lovers and Friends,Lil Jon & the East Side Boyz featuring Usher and Ludacris,"January 15, 2005",
51,Candy Shop,50 Cent featuring Olivia,"March 12, 2005","[Intro: 50 Cent]
Yeah, uh-huh
So seductive

[Chorus: 50 Cent & Olivia]
I'll take you to the candy shop
I'll let you lick the lollipop
Go ahead, girl, don't you stop
Keep goin' until you hit the spot, whoa
I'll take you to the candy shop (Yeah)
Want one taste of what I got? (Uh-huh)
I'll have you spendin' all you got (Come on)
Keep goin' until you hit the spot, whoa

[Verse 1: 50 Cent]
You could have it your way, how do you want it?
You gon' back that thing up or should I push up on it?
Temperature risin', okay, let's go to the next level
Dance floor jam-packed, hot as a tea kettle
I'll break it down for you now, baby, it's simple
If you be a nympho, I be a nympho
In the hotel or in the back of the rental
On the beach or in the park, it's whatever you into
Got the magic stick, I'm the love doctor
Have your friends teasin' you 'bout how sprung I got you
Wanna show me you could work it, baby? No problem
Get on top, then get to bounce around like a low rider
I'm a seasoned vet when it come to this shit
After you work up a sweat, you could play with the stick
I'm tryin' to explain, baby, the best way I can
I'll melt in your mouth, girl, not in your hand (Ha-ha)

[Chorus: 50 Cent & Olivia]
I'll take you to the candy shop
I'll let you lick the lollipop
Go ahead, girl, don't you stop
Keep goin' until you hit the spot, whoa
I'll take you to the candy shop
Want one taste of what I got?
I'll have you spendin' all you got
Keep goin' until you hit the spot, whoa

[Bridge: 50 Cent & Olivia]
Girl, what we do (What we do)
And where we do (And where we do)
The things we do (Things we do)
Are just between me and you, yeah (Oh yeah)

[Verse 2: 50 Cent]
Give it to me, baby, nice and slow
Climb on top, ride like you in a rodeo
You ain't never heard a sound like this before
'Cause I ain't never put it down like this
Soon as I come through the door
She get to pullin' on my zipper
It's like it's a race, who can get undressed quicker
Isn't it ironic, how erotic it is to watch her in thongs?
Had me thinkin' 'bout that ass after I'm gone
I touched the right spot at the right time
Lights on or lights off, she like it from behind
So seductive, you should see the way she whine
Her hips in slow-mo on the floor when we grind
Long as she ain't stoppin', homie, and I ain't stoppin'
Drippin' wet with sweat, man, it's on and poppin'
All my champagne campaign, bottle after bottle, it's on
And we gon' sip 'til every bubble in every bottle is gone

[Chorus: 50 Cent & Olivia]
I'll take you to the candy shop
I'll let you lick the lollipop
Go ahead, girl, don't you stop
Keep goin' until you hit the spot, whoa
I'll take you to the candy shop
Want one taste of what I got?
I'll have you spendin' all you got
Keep goin' until you hit the spot, whoa

[Chorus: 50 Cent & Olivia]
I'll take you to the candy shop
I'll let you lick the lollipop
Go ahead, girl, don't you stop
Keep goin' until you hit the spot, whoa
I'll take you to the candy shop
Want one taste of what I got?
I'll have you spendin' all you got
Keep goin' until you hit the spot, whoa"
52,Hate It or Love It,The Game featuring 50 Cent,"April 23, 2005","[Produced By: Cool & Dre]

[Intro: 50 Cent]
Yeah, let's take 'em back
Uh-huh

[Verse 1: 50 Cent]
Coming up I was confused, my mommy kissing a girl
Confusion occurs coming up in the cold world
Daddy ain't around, probably out committing felonies
My favorite rapper used to sing, ""Check, check out my melody""
I wanna live good so, shit, I sell dope
For a four finger ring, one of them gold ropes
Nana told me if I passed I'd get a sheepskin coat
If I can move a few packs I'd get the hat, now that'd be dope
Tossed and turned in my sleep that night
Woke up the next morning, niggas had stole my bike
Different day, same shit, ain't nothing good in the hood
I'd run away from this bitch and never come back if I could

[Chorus: 50 Cent & The Game]
Hate it or love it, the underdog's on top
And I'm gon' shine, homie, until my heart stop
Go 'head envy me, I'm rap's M.V.P
And I ain't going nowhere, so you can get to know me
Hate it or love it, the underdog's on top
And I'm gon' shine, homie, until my heart stop
Go 'head envy me, I'm rap's M.V.P
And I ain't going nowhere, so you can get to know me

[Verse 2: The Game]
(G-G-G-G-G-Unit!) On the grill of my lowrider
Guns on both sides, right above the gold wires
I'll fo'-five 'em, kill a nigga on my song
And really do it, that's the true meaning of a ghostwriter
10 G's will take your daughter out her Air Forces
Believe in me, homie, I know all about losses
I'm from Compton, wear the wrong colors, be cautious
One phone call'll have your body dumped in Marcy
I stay strapped like car seats
Been bangin' since my lil' nigga Rob got killed for his Barkleys
That's 10 years, I told Pooh in '95
I'll kill you if you try me for my Air Max 95's
Told Banks when I met him I'ma ride
And if I gotta die, I'd rather homicide
I ain't have 50 cent when my grandmama died
Now I'm going back to Cali
With my Jacob on, see how time fly?

[Chorus: 50 Cent & The Game]
Hate it or love it, the underdog's on top
And I'm gon' shine, homie, until my heart stop
Go 'head envy me, I'm rap's M.V.P
And I ain't going nowhere, so you can get to know me
Hate it or love it, the underdog's on top
And I'm gon' shine, homie, until my heart stop
Go 'head envy me, I'm rap's M.V.P
And I ain't going nowhere, so you can get to know me

[Bridge: 50 Cent]
From the beginning to the end
Losers lose, winners win
This is real, we ain't got to pretend
The cold world that we in is full of pressure and pain
Enough of me, nigga, now listen to Game

[Verse 3: The Game]
Used to see Five-O, throw the crack by the bench
Now I'm fuckin' with 5-0, it's all starting to make sense
My mom's happy, she ain't gotta pay the rent
And she got a red bow on that brand new Benz
Waiting on Sha Money to land, sitting in the Range
Thinking how they spent 30 million dollars on airplanes
When there's kids starvin'
Pac is gone and Brenda still throwing babies in the garbage
I wanna know what's going on like I hear Marvin
No schoolbooks, they used that wood to build coffins
Whenever I'm in the booth and I get exhausted
I think, ""What if Marie Baker got that abortion?"" I love you, ma

[Chorus: 50 Cent & The Game]
Hate it or love it, the underdog's on top
And I'm gon' shine, homie, until my heart stop
Go 'head envy me, I'm rap's M.V.P
And I ain't going nowhere, so you can get to know me
Hate it or love it, the underdog's on top
And I'm gon' shine, homie, until my heart stop
Go 'head envy me, I'm rap's M.V.P
And I ain't going nowhere, so you can get to know me"
53,Just a Lil Bit,50 Cent,"May 21, 2005","[Intro]
Yeah, Shady, Aftermath, G-Unit
Damn baby all I need is a lil' bit
A lil' bit of this, a lil' bit of that
Get it crackin' in the club when you hear the shit
Drop it like it's hot, get to whippin' that back
Girl shake that thing, yeah work that thing
Let me see it go up and down
Rotate that thang, I wanna touch that thang
When you make it go round and round

[Verse 1]
I step up in the club I'm like ""Who you wit?""
G-Unit in the house, yeah that's my clique
Yeah, I'm young, but a nigga from the old school
On the dancefloor a nigga doin old moves
I don't give a fuck, I do what I wan' do
I hit your ass up boy, I done warned you
Better listen when I talk nigga, don't trip
Yo' heat in the car, mines in this bitch
I ain't tryin' to beef, I'm tryin' to get my drink on
And my diamonds, my fitted, and my mink on
I'mma kick it at the bar 'til it's time to go
Then I'mma get in shorty ear and I'mma let her know

[Chorus]
All a nigga really need is a lil' bit
Not a lot baby girl, just a lil' bit
We can head to the crib in a lil' bit
I can show you how I live in a lil' bit
I wanna unbutton your pants just a lil' bit
Take 'em off and pull 'em down just a lil' bit
Get to kissin' and touchin' a lil' bit
Get to lickin' it, a lil' bit

[Verse 2]
This is 50, comin' out your stereo
It's hard to tell though cause I switched the flow
Eyes a little low cause I twist the 'dro
Pockets on swoll cause I move the O's
My neck, my wrist, my ears is froze
Come get your bitch, she on me dawg
She musta heard about the dough
Not Captain c'mon and Save-a-Ho
I get it crunk in the club, I'm off the chain
Number one on the chart all the time mane
When the kid in the house, I turn it out
Keep the dancefloor packed that's without a doubt
But shorty shake that thang like a pro man
She backed it up on me I'm like ""Oh man""
I got close enough to her so I know she could hear
System thumpin', party jumpin', I said loud and clear

[Chorus]
All a nigga really need is a lil' bit
Not a lot baby girl, just a lil' bit
We can head to the crib in a lil' bit
I can show you how I live in a lil' bit
I wanna unbutton your pants just a lil' bit
Take 'em off and pull 'em down just a lil' bit
Get to kissin' and touchin' a lil' bit
Get to lickin' it, a lil' bit

[Bridge]
Baby you got me feelin' right, you heard me?
My momma gone you can spend the night, you heard me?
I ain't playin' I'm tryin' to fuck tonight, you heard me?
Clothes off, face down, ass up, c'mon, ha ha

[Chorus]
All a nigga really need is a lil' bit
Not a lot baby girl, just a lil' bit
We can head to the crib in a lil' bit
I can show you how I live in a lil' bit
I wanna unbutton your pants just a lil' bit
Take 'em off and pull 'em down just a lil' bit
Get to kissin' and touchin' a lil' bit
Get to lickin' it, a lil' bit

[Outro]
All a nigga really need is a lil' bit
Not a lot baby girl, just a lil' bit
We can head to the crib in a lil' bit
I can show you how I live in a lil' bit
I wanna unbutton your pants just a lil' bit
Take 'em off and pull 'em down just a lil' bit
Get to kissin' and touchin' a lil' bit
Get to lickin' it, a lil' bit"
54,Let Me Hold You,Bow Wow featuring Omarion,"July 23, 2005","[Intro: J.D., Bow Wow]
Y'all know what this is
This what you need to do girl...
So, So, Def (Let me hold you)

[Verse 1: Bow Wow]
I been watchin' you for a minute
Come through here so sweet scented
In life girl you need me in it, I'm determined to win it
I know what you need, I know what's wrong
I know how to make it tight
Everything will be all right if ya (Let me hold you)
And introduce you to my world
And introduce you to the better side
Of life that you ain't been seeing girl
I'ma show you where it's at
And I'ma show you how to get it
All you got do is be with it and (Let me hold you)
Down like a real man's supposed to
I never would have approached you if I ain't have intentions on doing good
See dude you with is so fooled
To me, girl, you're so cool
And all I'm asking you to do is (Let me hold you)
Down like a best friend, two homies in the game
When you cry I wanna feel your pain; no secrets, no games
All excitement, nothin' plain; keep you happy, that's my aim
And all you gotta do girl is (Let me hold you)

[Hook: Omarion]
In my arms in my mind all the time I wanna
Keep you right by my side 'til I die I'm gonna
Hold you down and make sure everything is right with you
You can never go wrong if you let me hold you
Down like a real friend's supposed to
I'm trying to show you
The life of somebody like you should be living
Ohhhhh, baby baby
You could never go wrong if you let me hold you

[Verse 2: Bow Wow]
I'ma keep you up on what's poppin'
And shake you fresh to death
When we hit the mall we can ball 'til there's no more left
I know you ain't used to it but you gon get used to it
'Cause that's the only way I'm a do you and let me
(Let me hold you)
All my homies think I'm trippin' 'cause I got you a pad
See they just mad 'cause they ain't get you; they ain't get you
Scorpio is your sign and girl your so fine
And I would do whatever in no time - no shine
Its what you're coming with but I'ma change all that
Rearrange that, put you in the Range all black
With the rims to match, phone attached
TV's in the back, how you gon say no to that? Huh
(Let me hold you)
Niggas look at me like now here you go
Really bout to blow some doe
But ain't nobody did it before so why is you so go hold it
'Cause I believe this was meant to be
I just gotta work at it like a crack addict up in rehab

[Hook: Omarion]
(Let me hold you)
In my arms in my mind all the time I wanna
Keep you right by my side 'til I die I'm gonna
Hold you down and make sure everything is right with you
You can never go wrong if you let me hold you
Down like a real friend's supposed to
I'm trying to show you
The life of somebody like you should be living
Ohhhhh, baby baby
You could never go wrong if you let me hold you
(Let me hold you)

[Bridge: Bow Wow & Omarion]
Down-down around, Atlanta-lanta, fa-found
And everybody know now what I'm tryna do
I say down-down around, Atlanta-lanta, fa-found
I'm just tryna get you to (Let me hold you)
Down-down around, Atlanta-lanta, fa-found
And everybody know now what I'm tryna do
I say down-down around, Atlanta-lanta, fa-found
I'm just tryna get you to (to let me hold you)

[Hook: Omarion]
(Let me hold you)
In my arms in my mind all the time I wanna
Keep you right by my side 'til I die I'm gonna
Hold you down and make sure everything is right with you
You can never go wrong if you let me hold you
Down like a real friend's supposed to
I'm trying to show you
The life of somebody like you should be living
Ohhhhh, baby baby
You could never go wrong if you let me hold you
(hold you hold you)
(Let me hold you)"
55,Like You,Bow Wow featuring Ciara,"September 10, 2005","[Hook: Ciara]
I ain't never had nobody show me all the things that you done showed me
And the special way I feel when you hold me
We gon' always be together, baby - that's what you told me and I believe it
Cause I ain't neva had nobody do me like you

[Verse 1: Bow Wow, Ciara]
Now, I done been with different kind of girls
Like I done seen them all but ain't none of them at all (Like you)
And I done seen the best of the best
Baby, still I ain't impressed cause ain't none of them at all (Like you)
If you know how I feel when I chill
If I'm seen with a girl then she gotta be just (Like you)
And baby, that's the way I feel
And I got no choice but for me to keep it real
Cause when we, first got together started hanging out you was
Skeptical at first had to figure out if
I was the kinda guy to try to dog you out, but
I ain't that kinda guy you tried to make me out
You found out when you turned to my baby
I showed them other brothers how to treat a lady
I let you drive when I ride that Mercedes
And I ain't trippin' or actin' shady cause baby, you know

[Hook: Ciara and Bow Wow]
I ain't never had nobody show me all the things that you done showed me
And the special way I feel when you hold me
We gon' always be together, baby - that's what you told me and I believe it
Cause I ain't neva had nobody do me like you

[Verse 2: Ciara]
And every time I think about you
When you ride, when you call, when you come ('Round)
Your love is amazing to me
I can't wait 'til I see you - I wanna be with you again
And every time you're out on the road (I make a trip)
And whenever I'm doing a show (Don't you forget)
That I'm your main chick who got that game chick
One and the same chick - the one you can hang with

[Hook: Ciara and Bow Wow]
I ain't never had nobody show me all the things that you done showed me
And the special way I feel when you hold me
We gon' always be together, baby - that's what you told me and I believe it
Cause I ain't neva had nobody do me like you

[Verse 3: Bow Wow]
Okay, when you hit the mall pop tags spend a few G's
Hit the runway to a new season
It ain't nothin', I spoil the one I care for
Feel like I ain't doing enough that's when I shared more
I give you dis give you dat what you need love
You know I got it holla at me if you need love
And affection cause I'll be your protection
Kinda hard job but I do it to perfection
And you can tell that I ain't trying to let you go
I get wit you when I can so that's how I let you know
And you be tripping cause sometimes I gotta go
But you the first one to I holla to right after my shows
And I was tripping in a sense I was tense
But my body loose around you what I'mma do without you
I gotta get it together say whatever
But since I met you, my life seem so better

[Hook: Ciara]
I ain't never had nobody show me all the things that you done showed me
And the special way I feel when you hold me
We gon' always be together, baby - that's what you told me and I believe it
Cause I ain't neva had nobody do me like you

[Hook: Ciara and Bow Wow]
I ain't never had nobody show me all the things that you done showed me
And the special way I feel when you hold me
We gon' always be together, baby - that's what you told me and I believe it
Cause I ain't neva had nobody do me like you"
