,Song Title,Artist,Date Reached #1,Lyrics
Because everyone knows that hip-hop rules
So we gotta get a grip and grab what's wrong
The opposition is weak and rap is strong

[Doug E. Fresh]
This is all about, no doubt, to stop violence
But first let's have a moment of silence
*Fresh beatboxes*... swing
Things been stated re-educated, evaluated
Thoughts of the past have faded
The only thing left is the memories of our belated
And I hate it, when
Someone dies and gets all hurt up
For a silly gold chain by a chump (Word up)
It doesn't make you a big man (And)
To want to go out and dis your brother man (And)
You don't know that's part of the plan (Why?)
'Cause rap music is in full demand
Understand

[Chorus]
Self destruction, you're headed for self destruction

[Just-Ice]
My name is Just-Ice — a man, not a prankster
I was known as the gangster
But believe me that is no fun
The time is now to unite everyone
You don't have to be soft to be for peace
Robbing and killing and murdering is the least
You don't have to be chained by the beast
But party people it's time I release!

[Heavy D]
Ayo here's the situation: idiodicy
Nonsense, violence, not a good policy
Therefore we must ignore, fighting and fussing
Heavy's at the door so there'll be no bum-rushing
Let's get together or we'll be falling apart
I heard a brother shot another, it broke my heart
I don't understand the difficulty, people
Love your brother, treat him as an equal
They call us animals — mmm mmm, I don't agree with them
I'll prove them wrong, but right is what you're proving them
Take heed before I lead to what I'm saying
Or we'll all be on our knees, praying

[Fruitkwan]
Yo Heavy D, deep in the heart of the matter
The self-destruction is served on a platter
Making a day not failing to anticipate
They got greedy so they fell for the bait
That makes them a victim, picked then plucked
New jack in jail, but to the vets they're a duck
There's no one to rob, 'cause in jail you're a number
They never took the time to wonder about

[Chorus]
Self destruction, you're headed for self destruction
Self destruction, you're headed for self destruction

[Chuck D + (Flavor Flav)]
Yes, we urge to merge, we live for the love of our people
The hope: they get along (Yeah, so we did a song)
Getting the point to our brothers and sisters
Who don't know the time (Boyyyee, so we wrote a rhyme)
Instead in your head, you know, our job
To build and collect ourselves with intellect (Come on)
To revolve, to evolve to self-respect
'Cause we got to keep ourselves in check
Or else it's...

[Chorus]
Self destruction, you're headed for self destruction
Self destruction, you're headed for self destruction"
1,Me Myself and I,De La Soul,"May 20, 1989","[Intro: De La Soul]
Yeah, yeah, yeah, yeah
C'mon
Listen up
Check it out

[Verse 1: De La Soul, Jamie Redknapp & All]
Mirror mirror on the wall
Tell me mirror, what is wrong?
Can it be my De La Clothes
Or is it just my De La Soul?
What I do ain't make-believe
People say I sit and try
But when it comes to being De La
It's just me myself and I

[Hook: All]
It's just me myself and I
It's just me myself and I
It's just me myself and I

[Verse 2: De La Soul, Jamie Redknapp & All]
Proud, I'm proud of what I am
Poems I speak are Plug Two type
Please, oh please let Plug Two be
Himself, not what you read or write
De La Soul is from the soul
And in fact I can't deny
Strictly from the Dan called Stuckie
And from me myself and I

[Hook: All]
(Save your soul now)
It's just me myself and I
(A little louder, a little louder)
It's just me myself and I
It's just me myself and I

[Outro: Trugoy the Dove]
Everybody, everybody let me hear you say
De La, De La, De La
(De La, De La, De La)
Say Jamie, Jamie, Jamie
(Jamie, Jamie, Jamie)
Peace y'all"
2,I'm That Type of Guy,LL Cool J,"July 15, 1989","[Verse 1]
You're the type of guy that can't control your girl
You try to buy her love with diamonds and pearls
I'm the type of guy that shows up on the scene
And gets the seven digits, you know the routine
You're the type of guy that tells her, ""Stay inside""
While you're steady frontin in your homeboy's ride
I'm the type of guy that comes when you leave
I'm doin your girlfriend, that's somethin you can't believe
'Cause

[Chorus]
I'm that type of guy
I'm that type of guy
I'm that type of guy
I'm that type of guy

[Verse 2]
You're the type of guy that gets suspicious
I'm the type of guy that says, ""The puddin' is delicious""
You're the type of guy that has no idea
That a sneaky, freaky brother's sneakin' in from the rear
I'm the type of guy to eat it, when he won't
And lick you in the places that your boyfriend don't
You're the type of guy to try to call me a punk
Not knowin' that your main girl's bitin' my chunk
I'm the type of guy that loves a dedicated lady
Their boyfriends are boring, and I can drive 'em crazy
You're the type of guy to give her money to shop
She gave me a sweater. Thank you, sweetheart

[Chorus]
I'm that type of guy
I'm that type of guy
I'm that type of guy
I'm that type of guy

[Verse 3]
I'm the type of guy that picks her up from work early
Takes her to breakfast, lunch, dinner, and breakfast
You're the type of guy eatin' a TV dinner
Talkin 'bout... ""Goddamn it, I'ma kill her""
I'm the type of guy to make her say, ""Why you illin', B?""
You're the type of guy to say, ""My lower back is killin' me""
Catch my drift?
You're the type of guy that likes to drink Olde English
I'm the type of guy to cold pour 'n pamper
You're the type of guy to say, ""What you talkin' 'bout?""
I'm the type of guy to leave my drawers in your hamper

[Chorus]
I'm that type of guy
I'm that type of guy
I'm that type of guy
I'm that type of guy
You know what I mean?
Check it out...

[Verse 4]
T-y-p-e g-u-y
I'm that type of guy to give you a pound and wink my eye
Like a bandit, caught me redhanded, took her for granted
But when I screwed her, you couldn't understand it
Cause you're the type of guy that don't know the time
Swearin' up and down, ""That girl's all mine""
I'm the type of guy to let you keep believin' it
Go 'head to work, while I defrost it, and season it

[Chorus]
I'm that type of guy
I'm that type of guy, know what I mean
I'm that type of guy
""So ridiculous!""

[Outro]
So funny
I don't know
Come on now
Yeah
Like real cool, you know what I mean?
I like just going to your front door ringin' the bell
And just like
Ha ha ha ha ha ha
HA HA HA HA HA HA
HA HA HA HA HA HA!!!"
3,Fight the Power,Public Enemy,"July 29, 1989","[Produced by The Bomb Squad]

[Intro]
Yet our best trained, best educated, best equipped, best prepared troops refuse to fight. As a matter of fact, it’s safe to say that they would rather switch than fight

[Alternate Intro]
W-E-L-O-V-E 108 FM

[Verse 1]
1989 the number another summer (get down)
Sound of the funky drummer
Music hitting your heart cause I know you got soul
(Brothers and sisters, hey)
Listen if you're missing y'all
Swinging while I'm singin'
Giving whatcha gettin'
Knowing what I knowin'
While the Black band's sweating
And the rhythm rhymes rolling
Got to give us what we want
Gotta give us what we need
Our freedom of speech is freedom of death
We got to fight the powers that be
Lemme hear you say
Fight the power

[Hook]
Fight the power
We've got to fight the powers that be

[Verse 2]
As the rhythm's designed to bounce
What counts is that the rhyme's
Designed to fill your mind
Now that you've realized the pride's arrived
We got to pump the stuff to make ya tough
From the heart
It's a start, a work of art
To revolutionize make a change nothing's strange
People, people we are the same
No we're not the same
'Cause we don't know the game
What we need is awareness, we can't get careless
You say what is this?
My beloved let's get down to business
Mental self defensive fitness
(Yo) bum rush the show
You gotta go for what you know
To make everybody see, in order to fight the powers that be
Lemme hear you say
Fight the power

[Hook]
Fight the power
We've got to fight the powers that be

[Verse 3]
Elvis was a hero to most
But he never meant shit to me you see
Straight up racist that sucker was
Simple and plain
Motherfuck him and John Wayne
'Cause I'm Black and I'm proud
I'm ready and hyped plus I'm amped
Most of my heroes don't appear on no stamps
Sample a look back you look and find
Nothing but rednecks for 400 years if you check
Don't worry be happy
Was a number one jam
Damn if I say it you can slap me right here
(Get it) let's get this party started right
Right on, c'mon
What we got to say
Power to the people no delay
Make everybody see
In order to fight the powers that be

[Hook]
Fight the power
We've got to fight the powers that be"
4,It's Funky Enough,The D.O.C.,"September 9, 1989","[Intro]
Y'all ready for this
Rastafara Sonna Madda Fa
Drop the lyrics, a'ight

[Verse 1]
One, and here comes the two to the three and four
Then I drop the beat I have in store
Lay dynamics on the top like a rug
Make it sound smooth and later make a dub
Enunciate well, so that you can tell
I am not illiterate, no not even a little bit
Nothin' like an idiot, get it
You want the record, cool, I'm with it
Let the rhythm take you, shake it cause it makes you
As I turn the knob of the door you escape through
Go in like a knot, don't be a puff
And I let it play cause Dre's getting funky enough

[Hook]
It's funky, it's funky
It's funky, it's funky
It's funky, it's funky
It's funky, it's funky
Dre makes the beats so fun-fun-funky
It's gettin' funky, it's gettin' funky
It's gettin' funky, it's gettin' funky
It's gettin' funky, it's gettin' funky
Watch the smooth lyrics that take place

[Verse 2]
If you want another reason why it must be funky
Yo, I am not a jackass meanin' not a donkey
So I will play the game like it should be played
Drop the funk into the mix so the place will never fade
Ship it to the stations in your jurisdiction
Brothas say I'm dope, and the others say I'm bitchin'
No crowd can avoid the D-O to the C
When I'm P-E-R-F-O-R-M-I-N-G
On the stage, see the simple fact is I am dope
And known, I rock a funky beat without a cord so
It is my conclusion you will enjoy the fusion
And I will ascend with the style that I am using
Knowin' that it's tough and it's not a bluff
I think I'll let it play cause Dre's hittin' funky enough

[Hook]
It's funky, it's funky
It's funky, it's funky
It's funky, it's funky
It's funky, it's funky
Dre makes the beats so fun-fun-funky
It's gettin' funky, it's gettin' funky
It's gettin' funky, it's gettin' funky
It's gettin' funky, it's gettin' funky
Dre make the funky hip-hop music so check it

[Verse 3]
Listen to the kick, drop in with the click
And with no rehearses I'm dropping funky verses
Stupid with the bit that you think you are relying on
You love it when it rattles is the fact that I'm buying on
Suckers never come close cause of knowing
There is no stopping the D.O.C. when I'm flowin'
But in the event that someone will try and juice this
Stop him in his tracks, show him that I am Ruthless
I don't give a damn, don't think that I am jokin'
'Cause I don't think he is funny when you're messing with my money
Yo people tell me this, yo Dre, you must stop him
But with no frills, so I just drop him
Continue with the rhyme and make sure I get mine
With no static 'cause I sold an SMG to get my nine, but
Lessons have been learned now all kidding have been fronting
Let it play when the people say, Dre yo, you're getting funky enough

[Hook]
It's funky, it's funky
It's funky, it's funky
It's funky, it's funky
It's funky, it's funky
Dre makes the beats so fun-fun-funky
It's gettin' funky, it's gettin' funky
It's gettin' funky, it's gettin' funky
It's gettin' funky, it's gettin' funky
Deal with the D-O to the C

[Verse 4]
I need a break so I can check around
See who the hell who is sittin' down
I want all chairs off the floor
And if he stands to the wall, show him the door
And I'll kick in the beat to give you something to rock to
To go nonstop to, not have to look at the clock you
Perceive, but can't believe you're being taken
By a beat so cool you start shaking
And shivering, 'cause I'm delivering the answer
Heaven sent if you’re a hellified dancer
You tried sittin' but it just won't work
'Cause the beat is so fresh
Don't even tell it won't be funky enough

[Hook]
It's funky, it's funky
It's funky, it's funky
It's funky, it's funky
It's funky, it's funky
Dre makes the beats so fun-fun-funky
It's gettin' funky, it's gettin' funky
It's gettin' funky, it's gettin' funky
It's gettin' funky, it's gettin' funky
And with the help of the Dr. Dre, kick it

[Outro]
It's getting funky on the mix now, right
It's getting funky on the mix now, right
It's getting funky on the mix now, right
It's getting funky on the mix now
Put it in the needle, and drop it on the one, boy"
5,Smooth Operator,Big Daddy Kane,"October 7, 1989","[Verse 1]
Well excuse me, take a few minutes, to mellow out
Big Daddy Kane is on the mic and I'mma tell about
A minimum length, of rhymes of strength
And power, so listen to the man of the hour
Flow and go to a slow tempo and you know
Sing ho, swing low, then yo the show
Will go on, as I perform
Transformin on stage like a Decepticon
But I'm not animated like a cartoon
I'm for real, shootin lyrics like a harpoon
Across the crowd, the listeners, the spectators
So let's groove with the smooth operator

[Hook]
""Cause I'm so smooth...""

The B-I-G, D-A-double-D-Y-K-A-N-E
I'm good and plenty, servin many and any
Competition, wishin' for an expedition
I'm straight up dissin' and dismissin', listen
Rappers act so wild, and love to profile
Frontin hard but ain't got no style
I give nightmares to those who compete
Freddy Kreuger, walkin' on Kane Street
Confuse and lose abuse and bruise the crews
Who choose to use my name wrong, they pay dues
Destruction from the exterminator
But in a calm manner, cause I'm a smooth operator

[Hook]
""Cause I'm so smooth...""

[Verse 2]
Now girls step up to this
One simple kiss, and it's over, Miss
Sold to nice dreamers, high as the price seem
Girlfriend, you been scooped like ice cream
So just swing or fling a gathering, try to cling
Cause It's a Big Daddy Thing
And I'm lovin em right, word is bond
So just play Marvin Gaye and Let's Get It On
I make it real good like Dr. Feelgood
To make sure that my point is understood
That when it comes to this there's none greater
Sincerely yours... the smooth operator

[Hook]
""Cause I'm so smooth...""

[Verse 3]
Now ain't that the pot callin' the kettle black
Sayin' I'm a new jack, you need to be smacked
The smooth way I say 'em and the way I display 'em
To make them sound different in a way that's gifted
And hey I'm, makin sure every lyric is done fine
And I make one line, bright as the sunshine
Attack you like Robitussin on a cough
If you know like I know -- step off
Competition, I'mma get rid of
You can't get a bit of, so just consider
A break or rest, vacation, hibernation
And make way for my smooth operation
I'm a smooth operator

[Hook]
""Cause I'm so smooth...""

Ahhhhh yeahhh, and you don't stop
Genuine for '89
And I still ain't half-steppin, peace!"
6,Me So Horny,2 Live Crew,"November 4, 1989","[Intro]
""What'll we get for 10 dollars?""
""Every 'ting you want""
""Everything?""
""Every 'ting..""

[Chorus]
Ahh! Me so horny!
Me love you long time!

[Verse 1: Brother Marquis]
Sitting at home with my dick all hard
So I got the black book for a freak to call
Picked up the telephone, then dialed the 7 digits
Said, ""Yo, this Marquis, baby! Are you down with it?""
I arrived at her house, knocked on the door
Not having no idea of what the night had in store
I'm like a dog in heat, a freak without warning
I have an appetite for sex, cause me so horny

[Chorus]
Ahh! Me so horny!
Me love you long time!

[Verse 2: Fresh Kid Ice]
Girls always ask me why I fuck so much
I say ""What's wrong, baby doll, with a quick nut?""
Cause you're the one, and you shouldn't be mad
I won't tell your mama if you don't tell your dad
I know he'll be disgusted when he sees your pussy busted
Won't your mama be so mad if she knew I got that ass?
I'm a freak in heat, a dog without warning
My appetite is sex, cause me so horny

[Chorus]
Ahh! Me so horny!
Me love you long time!

[Verse 3: Brother Marquis]
You can say I'm desperate, even call me perverted
But you say I'm a dog when I leave you fucked and deserted
I'll play with your heart just like it's a game
I'll be blowing your mind while you're blowing my brains
I'm just like that man they call Georgie Puddin' Pie
I fuck all the girls and I make 'em cry
I'm like a dog in heat, a freak without warning
I have an appetite for sex, cause me so horny

[Chorus]
Ahh! Me so horny!
Me love you long time!

[Verse 4: Fresh Kid Ice]
It's true, you were a virgin until you met me
I was the first to make you hot and wetty-wetty
You tell your parents that we're going out
Never to the movies, just straight to my house
You said it yourself, you like it like I do
Put your lips on my dick, and suck my asshole too
I'm a freak in heat, a dog without warning
My appetite is sex, cause me so horny

[Chorus]
Ahh! Me so horny!
Me love you long time!

[Outro]
""Fuckie suckie""
""Me fuckie suckie"""
7,Cha Cha Cha,MC Lyte,"December 2, 1989","[Kick this one here for me and my DJ]

You can cha-cha-cha to this Mardis Gras
I'm the dopest female that you've heard thus far
And I do get better, the voice gets wetter
Nobody gets hurt (as long as you let her)
Do my thing with an '89 swing
The dopeness I write, I guarantee delight
To the hip-hop maniac, the Uptown brainiac
In full effect, MC Lyte is back
And better than before as if that was possible
My competition, you'll find them in the hospital
Visiting time, I think it's on a Sunday
But notice they only get one day to shine
The rest of the week is mine
And I'll blind you with the science that the others have yet to find
So come along and I'll lead you the right way
Just clap your hands to the words I say, come on...

[Kick this one here for me and my DJ]

I've got the power to spread out and devour
At the same time I'll eat you up with a rhyme
But I'll let you slide cuz you accidently hopped on the wrong side
Now come on, that's suicide
Hypothetically speaking
Ok, let's say you didn't know what you were doing
You're new in town, and you're looking around
For another name to ruin, and it's me that you're pursuing?
Well well well, I'll be damned
I might as well tell you who I am
I am the capital L-Y-T-E
And it's shocking I'm the one you're mocking
Oh yes, I've been watching you watching me
And like the fat on your back it's plain to see
That you're a wannabe, but you can't be what you're not
So you better start living with what you got

[Kick this one here for me and my DJ]

Yeah, DJ K-Rock when you hear a scratch
Now it's time to kick a rhyme out the batch
And you're the receiver eager as a beaver
Time to convert the non-believer
That I'm a roadrunner leaving you in the dust
I can adjust to the times and at times I might just get quicker
Than the ticker of your pacemaker
More tender than a roni but harder than a jawbreaker
So don't ever second guess me
And if you're wondering who could the best be
Think a second and recollect the worst whipping you ever had yet
And I'll bet that I did it
My fingerprints are still on you
How many times I gotta warn you
About the light? It'll blind your sight
But the rhythm will still guide you through the night

[Kick this tip...
Kick this one here for me and my DJ]"
8,New Jack Swing,Wrecks-n-Effect,"December 16, 1989","Yo Wreckx-N-Effect
In full effect!
(""Word up!"")
(""Know we need it. Know we need it."")
(""Give it to me. Give it, give it"")

[Verse 1: Aqil]
It's the New Jack Swing
Yes, it's something funky that you can cling
All you gotta do is c'mon and sing
Word for word, every lyric that I bring
And if you surely swing your body
When you step in cool inside a party
Watching all the girls just pumping like hotties
They have parts that look better than Ferraris
So I had to try these
Dancing, with this girl, on my luck
I was chancing, hoping she was the type for romancing
But my rap needed a little enhancing
Because this girlie wasn't answering
Nothing I said, I started getting fed and turning red
Then, I told her just a bit about Ted
She gave a wink and started to think
But didn't believe a thing about the New Jack Swing

[Chorus]
(""You got to get down, you got to get down""
""You got to get down, down, down, down"")
Didn't believe a thing about the New Jack Swing
(""You got to get down, you got to get down""
""You got to get down, down, down, down"")
(""Give it, give it, give it to me"")

[Verse 2: Teddy Riley]
1-2-3
I made the New Jack Swing
Yes, T.R., is my name
Making you dance to my thing
Is the way I entertain, baby
I make the beats you like
Yes, that's right, it's outta sight
All my beats are very hype
Yes, G.R. is moving it, right?
I got Keith Sweat, Heavy D
Today, Moe Dee
B. Sure, and my man Bobby Brown
I got Zan the Man, Redhead
Boy George, James and
Deja, and my homeboys Guy
And you got to get fly

[Chorus]

[Verse 3: Aqil]
Back to the matter
The New Jack Swing is the sound that can flatter
Any other sound around town doesn't give the
Same type of feeling that this one delivers
So your body shivers, so bad
Some dope beat medicine you wish you had
Dipping your feelings from glad to sad
But you're not getting a thing
So just chill and get whipped by the New Jack Swing

[Chorus]"
9,Somebody for Me,Heavy D & the Boyz,"December 23, 1989","[Heavy D]
Oh yeah

[Al B. Sure!]
I want somebody

[Heavy D]
Aight

[Hook]
I want somebody to love me for me
Happy happy is the way that I wanna be (2X)

[Heavy D]
Bust it
Now I've searched low, and I've searched high
Trying to find myself a cutie pie
But destination leads me to a dead end
Over and over and over again
They told me to wait, so I waited
Anticipated, debated and delayed it
But still came up with the same ol' thing
Nothing
It seems as if every time I find the right girl
She turns out to be the very wrong girl
Tell me y'all, when will this madness stop?
I want somebody to love me for me
Not because I'm MC Heavy D
I'm looking for a love that's as solid as a rock

[Hook]
I want somebody to love me for me
Happy happy is the way that I wanna be (2X)

[Heavy D]
Now maybe I'll take a trip around the world
And find myself a beautiful, gorgeous girl
They say when you look, one never finds
They also say that love is blind
It ain't that blind that I can't see
Somebody out there who's perfect for me
Somebody who's gonna love me for me

[Al B. Sure!]
I know you want love

[Heavy D]
Love, that's what I'm talking about
A relationship, a commitment
Something to live for

[Al B. Sure!]
Maybe if you take, your time

[Heavy D]
Time has been taken and time has been spent
Now it's time for the lover to score

[Hook]
I want somebody to love me for me
Happy happy is the way that I wanna be (4X)

[Heavy D]
So that's the storyline of my life
No cutie pie, no future wife
Just relationships that bounce back like rubber
(Yo, word to the mutha!)
I guess I'll call it a day and throw my towel in
Cause it seems that I can't win
So I'll just carry on being an overweight lover
(Word...to...mutha!)

[Hook]
I want somebody to love me for me
Happy happy is the way that I wanna be (4x)"
10,The D.O.C. & The Doctor,The D.O.C.,"January 6, 1990","Yo Dre let's kick it on the one, black, and we don't stop
Making records that people are cold checking and respecting and
It rocks, the sales won't stop, those of the Doctor...

And I'm the diggy diggy D.O.C. y'all, pumping it yes y'all
D.O.C. on the set we're kicking fresh y'all
Letting the bass G-O and full with soul so I can wait
Leaving the rest to DJ Dr. Dre

It's the diggy diggy D.O.C. y'all

When I hear a bass drum, I gotta get dumb, but some
Think it's a fable and label me not able to come
Correct, so I cold jet back to my room
And invent something to compliment the boom
Of a kick, cause I want it all like in Monopoly
The great make not a mistake, make sure it's properly done
Strictly for public satisfaction
So you're in awe when I'm in action
Cause all we do, from me to you, is a song
Strong, bump intention tumping system is born
I deliver, somthing to shiver you peak level
And if you want it deep, yo Dre go get a shovel
And you're bumping, your speakers rattle
This is all over the world, but without a saddle
Light the twice, I hype the mic, make it dumb
And Dre is the engineer, but I'm the drum

It's the diggy diggy D.O.C. y'all

I want you to turn up the radio, listen to the lyrics
And I let the bass go so you can hear it
Bumping, your speakers are thumping, dig it, yeah you like it
You know the album? Get it
And I'll keep producing and inducing
A rhythm with a style that makes you get loose and
Sweat, cause I'm as good as you've gotten yet
Some said they can handle, you wanna bet?
And I don't understand the misconseption
Think that if you make it, you go in one direction
When you're in flight, yo, you gotta fly high
So you were born, so you die
It's all evolution, here's the rule
Evolve, my meaning, enroll in a new school
Adn learn the tricks that makes the mix dumb
Then be certain to keep suckers hurting when it comes to a drum

It's the diggy diggy D.O.C. y'all

Yo! And now your eardrums are cold full of the big beat
But you're attatched, like ankles are to feet
So you listen, and as it play you pump it louder
But to your speakers you're sparking some gunpowder
Check it for a second, listen and behold the
Great as I open your mind like a folder
Down with the science, I'm rocking like a musical
So when you're listening, you're seeing me and
Dre cold sweating cause you know we're like striving
For number 1, not number 4 and number 5 and
Nothing can mean more than to make it last a lifetime
In the middle of his mix and my rhyme
Never been in need now that Dre is on the cut
You may think I speak of music but I dream of coming up
Rolling to the homies in the city getting dumb
The sound of the D-O to the C and the drum

Yo, it's the diggy diggy D.O.C. y'all
Dre, drop it, it's the diggy diggy D.O.C. y'all

Is that a yes y'all? (Repeat 4x)

Fresh, for those that know, peace"
11,Expression,Salt-n-Pepa,"January 20, 1990","Oh yeah, oh yeah
You know life is all about expression
You only live once, and you're not coming back
So express yourself, yeah

CHORUS
Express yourself, you gotta be you and only you, babe
Express yourself, and let me be me
Express yourself, don't tell me what I cannot do, baby
Come on and work your body

Now Joe wanna be like Bob
Bob got it goin' on with no job
And everything Rob got he got from Robin
And everything she got she got ho-hoppin'
My girl Jilly wanna be like Jackie
Fat rope chains and I think that's wick-wacky
Tom and Dick wanna be like Harry
Little do they know he's bitin' on Barry
Stan was a scam, but Vinnie's legit
Mercedes coupe hometroop with no kit
A businessman with a beeper for a reason
Not like Tim because it's in this season

CHORUS

Oh yeah, oh yeah
Hey Pep, you up next

Yes, I'm Pep and there ain't nobody
Like my body, yes, I'm somebody
No, I'm sorry, I'm-a rock this Mardis Gras
Until the party ends, friends
Yes, I'm blessed, and I know who I am
I express myself on every jam
I'm not a man, but I'm in command
Hot damn, I got an all-girl band
And I wear the gear, yeah, I wanna wear it, too
I don't care, dear, go ahead and stare (oooo)
Afraid to be you, livin' in fear (boo)
Expression is rare, I dare you

[Chorus]
Express yourself, you've got to be you, babe
Express yourself, and let me be me
Express yourself, don't tell me what to do, babe
Express yourself, come on and work that body

Oh yeah, oh yeah...
Yo, excuse us while we rap
Go ahead, girls, express yourself!

My party, your party, anytime drop in
Cold hip-hop is always rockin'
Don't you like it when the music drop
Jump, spread out, and stop?
Now bring in the go-go (uh-oh)
Look at how my butt go rock from left to the right
You wanna step to me, groove me
I know you wanna do me
Come on now, fellas, don't fight

At my door they're bum-rushin'
To hear the percussion
Sound of my go-go band
I've long ago learned my lesson
It's all about expression
Will the real Salt and Pepa please stand?
And...

Express yourself, you've got to be you, babe
Express yourself, and let me be me
Express yourself, don't tell me what to do, babe
Express yourself, come on and work that body

Express yourself, you've got to be you, babe
Express yourself, don't tell me what to do, babe
Express yourself, you've got to be you, babe
Express yourself, don't tell me what to do, babe

Express yourself, oh yeah, oh yeah
Express yourself"
12,The Humpty Dance,Digital Underground,"March 17, 1990","[Verse One: Shock G as Humpty Hump]
All right! Stop whatcha doin', 'cause I'm about to ruin
The image and the style that ya used to
I look funny—but yo I'm making money, see
So yo world I hope you're ready for me
Now gather round, I'm the new fool in town
And my sound's laid down by the Underground
I drink up all the Hennessy ya got on ya shelf
So just let me introduce myself
My name is Humpty, pronounced with a ""umpty""
Yo ladies, oh how I like to funk thee
And all the rappers in the top ten--please allow me to bump thee
I'm steppin' tall, y'all, and just like Humpty Dumpty
You're gonna fall when the stereos pump me
I like to rhyme, I like my beats funky
I'm spunky. I like my oatmeal lumpy
I'm sick wit dis, straight gangsta mack
But sometimes I get ridiculous
I'll eat up all your crackers and your licorice
Hey yo fat girl, c'mere--are ya ticklish?
Yeah, I called ya fat; look at me, I'm skinny
It never stopped me from getting busy
I'm a freak, I like the girls with the boom
I once got busy in a Burger King bathroom
I'm crazy, allow me to amaze thee
They say I'm ugly but it just don't faze me
I'm still getting in the girls' pants
And I even got my own dance

[Hook]
The Humpty Dance is your chance to do the hump
Do the Humpty Hump, come on and do the Humpty Hump
Do the Humpty Hump, just watch me do the Humpty Hump
Do ya know what I'm doing, doing the Humpty Hump
Do the Humpty Hump, do the Humpty Hump

[Verse Two]
People say ""Yo, Humpty, you're really funny lookin'""
That's all right cause I get things cookin'
Ya stare, ya glare, ya constantly try to compare me
But ya can't get near me
I give 'em more, see, and on the floor, B
All the girls they adore me
Oh yes, ladies, I'm really being sincere
Cause in a 69 my humpty nose will tickle ya rear
My nose is big, uh-uh I'm not ashamed
Big like a pickle, I'm still getting paid
I get laid by the ladies, ya know I'm in charge
Both how I'm living and my nose is large
I get stupid, I shoot an arrow like Cupid
I use a word that don't mean nothing, like looptid
I sang on ""Doowutchalike"", and if ya missed it
I'm the one who said, ""Just grab 'im in the biscuits""
Also told ya that I like to bite
Well, yeah, I guess it's obvious, I also like to write
All ya had to do was give Humpty a chance
And now I'm gonna do my dance

[Hook]
The Humpty Dance is your chance to do the hump
Do the Humpty Hump, come on and do the Humpty Hump
Do the Humpty Hump, just watch me do the Humpty Hump
Do ya know what I'm doing, doing the Humpty Hump
